NPI,Name,Physician,Specialty,Entity_Name,ECP_Category,Street,City,State,County,Zip,Networks,Carrier,name_location_carrier,locations
1881743631,Planned Parenthood of the Rocky Mountains--Cortez,Physician,"Family Planning Providers, Rural Health Clinics, Sexually Transmitted Disease Clinics","Planned Parenthood of the Rocky Mountains, Inc.", Sexually Transmitted Disease Clinics,20 W North St,Cortez,CO,Montezuma,81321-3117,CON001,Bright,"Planned Parenthood of the Rocky Mountains--Cortez: 20 W North St, Cortez, CO, 81321-3117: Bright","20 W North St, Cortez, CO, 81321-3117"
1881743631,Planned Parenthood of the Rocky Mountains - Granby,Physician,"Family Planning Providers, Sexually Transmitted Disease Clinics","Planned Parenthood of the Rocky Mountains, Inc.",Family Planning Providers,236 Agate Ave.,Granby,CO,Grand,80446-0088,CON001,Bright,"Planned Parenthood of the Rocky Mountains - Granby: 236 Agate Ave., Granby, CO, 80446-0088: Bright","236 Agate Ave., Granby, CO, 80446-0088"
1881743631,Planned Parenthood of the Rocky Mountains - Granby,Physician,"Family Planning Providers, Sexually Transmitted Disease Clinics","Planned Parenthood of the Rocky Mountains, Inc.", Sexually Transmitted Disease Clinics,236 Agate Ave.,Granby,CO,Grand,80446-0088,CON001,Bright,"Planned Parenthood of the Rocky Mountains - Granby: 236 Agate Ave., Granby, CO, 80446-0088: Bright","236 Agate Ave., Granby, CO, 80446-0088"
1881743631,Planned Parenthood of the Rocky Mountains--Greeley,Physician,"Family Planning Providers, Sexually Transmitted Disease Clinics","Planned Parenthood of the Rocky Mountains, Inc.",Family Planning Providers,3487 W 10th St,Greeley,CO,Weld,80634-5361,CON001,Bright,"Planned Parenthood of the Rocky Mountains--Greeley: 3487 W 10th St, Greeley, CO, 80634-5361: Bright","3487 W 10th St, Greeley, CO, 80634-5361"
1881743631,Planned Parenthood of the Rocky Mountains--Greeley,Physician,"Family Planning Providers, Sexually Transmitted Disease Clinics","Planned Parenthood of the Rocky Mountains, Inc.", Sexually Transmitted Disease Clinics,3487 W 10th St,Greeley,CO,Weld,80634-5361,CON001,Bright,"Planned Parenthood of the Rocky Mountains--Greeley: 3487 W 10th St, Greeley, CO, 80634-5361: Bright","3487 W 10th St, Greeley, CO, 80634-5361"
1881743631,Planned Parenthood of the Rocky Mountains--Longmont,Physician,"Family Planning Providers, Rural Health Clinics, Sexually Transmitted Disease Clinics","Planned Parenthood of the Rocky Mountains, Inc.",Family Planning Providers,195 S Main St,Longmont,CO,Boulder,80501-6218,CON001,Bright,"Planned Parenthood of the Rocky Mountains--Longmont: 195 S Main St, Longmont, CO, 80501-6218: Bright","195 S Main St, Longmont, CO, 80501-6218"
1881743631,Planned Parenthood of the Rocky Mountains--Longmont,Physician,"Family Planning Providers, Rural Health Clinics, Sexually Transmitted Disease Clinics","Planned Parenthood of the Rocky Mountains, Inc.", Rural Health Clinics,195 S Main St,Longmont,CO,Boulder,80501-6218,CON001,Bright,"Planned Parenthood of the Rocky Mountains--Longmont: 195 S Main St, Longmont, CO, 80501-6218: Bright","195 S Main St, Longmont, CO, 80501-6218"
1881743631,Planned Parenthood of the Rocky Mountains--Longmont,Physician,"Family Planning Providers, Rural Health Clinics, Sexually Transmitted Disease Clinics","Planned Parenthood of the Rocky Mountains, Inc.", Sexually Transmitted Disease Clinics,195 S Main St,Longmont,CO,Boulder,80501-6218,CON001,Bright,"Planned Parenthood of the Rocky Mountains--Longmont: 195 S Main St, Longmont, CO, 80501-6218: Bright","195 S Main St, Longmont, CO, 80501-6218"
1881743631,Planned Parenthood of the Rocky Mountains--Parker Express,Physician,"Family Planning Providers, Rural Health Clinics, Sexually Transmitted Disease Clinics","Planned Parenthood of the Rocky Mountains, Inc.",Family Planning Providers,12543 N State Highway 83,Parker,CO,Douglas,80134-8800,CON001,Bright,"Planned Parenthood of the Rocky Mountains--Parker Express: 12543 N State Highway 83, Parker, CO, 80134-8800: Bright","12543 N State Highway 83, Parker, CO, 80134-8800"
1881743631,Planned Parenthood of the Rocky Mountains--Parker Express,Physician,"Family Planning Providers, Rural Health Clinics, Sexually Transmitted Disease Clinics","Planned Parenthood of the Rocky Mountains, Inc.", Rural Health Clinics,12543 N State Highway 83,Parker,CO,Douglas,80134-8800,CON001,Bright,"Planned Parenthood of the Rocky Mountains--Parker Express: 12543 N State Highway 83, Parker, CO, 80134-8800: Bright","12543 N State Highway 83, Parker, CO, 80134-8800"
1881743631,Planned Parenthood of the Rocky Mountains--Parker Express,Physician,"Family Planning Providers, Rural Health Clinics, Sexually Transmitted Disease Clinics","Planned Parenthood of the Rocky Mountains, Inc.", Sexually Transmitted Disease Clinics,12543 N State Highway 83,Parker,CO,Douglas,80134-8800,CON001,Bright,"Planned Parenthood of the Rocky Mountains--Parker Express: 12543 N State Highway 83, Parker, CO, 80134-8800: Bright","12543 N State Highway 83, Parker, CO, 80134-8800"
1881743631,Planned Parenthood of the Rocky Mountains--Salida,Physician,"Family Planning Providers, Rural Health Clinics, Sexually Transmitted Disease Clinics","Planned Parenthood of the Rocky Mountains, Inc.",Family Planning Providers,233 E 2nd St,Salida,CO,Chaffee,81201-2116,CON001,Bright,"Planned Parenthood of the Rocky Mountains--Salida: 233 E 2nd St, Salida, CO, 81201-2116: Bright","233 E 2nd St, Salida, CO, 81201-2116"
1881743631,Planned Parenthood of the Rocky Mountains--Salida,Physician,"Family Planning Providers, Rural Health Clinics, Sexually Transmitted Disease Clinics","Planned Parenthood of the Rocky Mountains, Inc.", Rural Health Clinics,233 E 2nd St,Salida,CO,Chaffee,81201-2116,CON001,Bright,"Planned Parenthood of the Rocky Mountains--Salida: 233 E 2nd St, Salida, CO, 81201-2116: Bright","233 E 2nd St, Salida, CO, 81201-2116"
1881743631,Planned Parenthood of the Rocky Mountains--Salida,Physician,"Family Planning Providers, Rural Health Clinics, Sexually Transmitted Disease Clinics","Planned Parenthood of the Rocky Mountains, Inc.", Sexually Transmitted Disease Clinics,233 E 2nd St,Salida,CO,Chaffee,81201-2116,CON001,Bright,"Planned Parenthood of the Rocky Mountains--Salida: 233 E 2nd St, Salida, CO, 81201-2116: Bright","233 E 2nd St, Salida, CO, 81201-2116"
1881743631,Planned Parenthood of the Rocky Mountains - Steamboat Springs,Physician,"Family Planning Providers, Rural Health Clinics, Sexually Transmitted Disease Clinics","Planned Parenthood of the Rocky Mountains, Inc.",Family Planning Providers,111 11th St,Steamboat Springs,CO,Routt,80477,CON001,Bright,"Planned Parenthood of the Rocky Mountains - Steamboat Springs: 111 11th St, Steamboat Springs, CO, 80477: Bright","111 11th St, Steamboat Springs, CO, 80477"
1881743631,Planned Parenthood of the Rocky Mountains - Steamboat Springs,Physician,"Family Planning Providers, Rural Health Clinics, Sexually Transmitted Disease Clinics","Planned Parenthood of the Rocky Mountains, Inc.", Rural Health Clinics,111 11th St,Steamboat Springs,CO,Routt,80477,CON001,Bright,"Planned Parenthood of the Rocky Mountains - Steamboat Springs: 111 11th St, Steamboat Springs, CO, 80477: Bright","111 11th St, Steamboat Springs, CO, 80477"
1881743631,Planned Parenthood of the Rocky Mountains - Steamboat Springs,Physician,"Family Planning Providers, Rural Health Clinics, Sexually Transmitted Disease Clinics","Planned Parenthood of the Rocky Mountains, Inc.", Sexually Transmitted Disease Clinics,111 11th St,Steamboat Springs,CO,Routt,80477,CON001,Bright,"Planned Parenthood of the Rocky Mountains - Steamboat Springs: 111 11th St, Steamboat Springs, CO, 80477: Bright","111 11th St, Steamboat Springs, CO, 80477"
1659649135,Clinica Family Health - MHP Alpine,Physician,Federally Qualified Health Centers,CLINICA CAMPESINA FAMILY HEALTH SERVICES,Federally Qualified Health Centers,1000 Alpine Ave,Boulder,CO,Boulder,80304-3406,CON001,Bright,"Clinica Family Health - MHP Alpine: 1000 Alpine Ave, Boulder, CO, 80304-3406: Bright","1000 Alpine Ave, Boulder, CO, 80304-3406"
1164752812,Entrada School Based Health Center,Physician,Federally Qualified Health Centers,PEAK VISTA COMMUNITY HEALTH CENTERS,Federally Qualified Health Centers,1740 Pepperwood Dr,Colorado Springs,CO,El Paso,80910-1525,CON001,Bright,"Entrada School Based Health Center: 1740 Pepperwood Dr, Colorado Springs, CO, 80910-1525: Bright","1740 Pepperwood Dr, Colorado Springs, CO, 80910-1525"
1699930651,JEFFERSON HIGH SCHOOL KIDS & TEENS HEALTH CENTER,Physician,Federally Qualified Health Centers,"METRO COMMUNITY PROVIDER NETWORK, INC.",Federally Qualified Health Centers,2305 Pierce St,Edgewater,CO,Jefferson,80214-1031,CON001,Bright,"JEFFERSON HIGH SCHOOL KIDS & TEENS HEALTH CENTER: 2305 Pierce St, Edgewater, CO, 80214-1031: Bright","2305 Pierce St, Edgewater, CO, 80214-1031"
1730295296,Rocky Mountain Youth Clinics - Laredo,Physician,000 OTHER,Rocky Mountain Youth Clinics,000 OTHER,1350 Laredo St,Aurora,CO,Arapahoe,80011-7455,CON001,Cigna,"Rocky Mountain Youth Clinics - Laredo: 1350 Laredo St, Aurora, CO, 80011-7455: Cigna","1350 Laredo St, Aurora, CO, 80011-7455"
1649605536,MCPN - Health &Wellness Center at the Asian Pacific Development Center,Physician,000 OTHER,"METRO COMMUNITY PROVIDER NETWORK, INC.",Federally Qualified Health Centers,1537 Alton St,Aurora,CO,Adams,80010-1712,CON001,Cigna,"MCPN - Health &Wellness Center at the Asian Pacific Development Center: 1537 Alton St, Aurora, CO, 80010-1712: Cigna","1537 Alton St, Aurora, CO, 80010-1712"
1730295296,Rocky Mountain Youth Clinics - Crawford,Physician,000 OTHER,Rocky Mountain Youth Clinics,000 OTHER,1600 Florence St,Aurora,CO,Adams,80010-2130,CON001,Cigna,"Rocky Mountain Youth Clinics - Crawford: 1600 Florence St, Aurora, CO, 80010-2130: Cigna","1600 Florence St, Aurora, CO, 80010-2130"
1326203399,STEIN KIDS HEALTH CENTER,Physician,000 OTHER,"METRO COMMUNITY PROVIDER NETWORK, INC.",Federally Qualified Health Centers,80 S Teller St,Lakewood,CO,Jefferson,80226-2044,CON001,Cigna,"STEIN KIDS HEALTH CENTER: 80 S Teller St, Lakewood, CO, 80226-2044: Cigna","80 S Teller St, Lakewood, CO, 80226-2044"
1205122066,MCPN Arapahoe Douglas Health Center,Physician,000 OTHER,"METRO COMMUNITY PROVIDER NETWORK, INC.",Federally Qualified Health Centers,61 W Davies Ave N,Littleton,CO,Arapahoe,80120-5252,CON001,Cigna,"MCPN Arapahoe Douglas Health Center: 61 W Davies Ave N, Littleton, CO, 80120-5252: Cigna","61 W Davies Ave N, Littleton, CO, 80120-5252"
1316233174,Independence Health Center at JCMH,Physician,000 OTHER,"METRO COMMUNITY PROVIDER NETWORK, INC.",Federally Qualified Health Centers,4851 Independence St,Wheat Ridge,CO,Jefferson,80033-6715,CON001,Cigna,"Independence Health Center at JCMH: 4851 Independence St, Wheat Ridge, CO, 80033-6715: Cigna","4851 Independence St, Wheat Ridge, CO, 80033-6715"
1730295296,Rocky Mountain Youth Clinics - Laredo,Physician,Other ECP Providers,Rocky Mountain Youth Clinics,Other ECP Providers,1350 Laredo St,Aurora,CO,Arapahoe,80011-7455,CON001,Denver Health,"Rocky Mountain Youth Clinics - Laredo: 1350 Laredo St, Aurora, CO, 80011-7455: Denver Health","1350 Laredo St, Aurora, CO, 80011-7455"
1649605536,MCPN - Health &Wellness Center at the Asian Pacific Development Center,Physician,Federally Qualified Health Centers,"METRO COMMUNITY PROVIDER NETWORK, INC.",Federally Qualified Health Centers,1537 Alton St,Aurora,CO,Adams,80010-1712,CON001,Denver Health,"MCPN - Health &Wellness Center at the Asian Pacific Development Center: 1537 Alton St, Aurora, CO, 80010-1712: Denver Health","1537 Alton St, Aurora, CO, 80010-1712"
1730295296,Rocky Mountain Youth Clinics - Crawford,Physician,Other ECP Providers,Rocky Mountain Youth Clinics,Other ECP Providers,1600 Florence St,Aurora,CO,Adams,80010-2130,CON001,Denver Health,"Rocky Mountain Youth Clinics - Crawford: 1600 Florence St, Aurora, CO, 80010-2130: Denver Health","1600 Florence St, Aurora, CO, 80010-2130"
1659649135,Clinica Family Health - MHP Alpine,Physician,Federally Qualified Health Centers,CLINICA CAMPESINA FAMILY HEALTH SERVICES,Federally Qualified Health Centers,1000 Alpine Ave,Boulder,CO,Boulder,80304-3406,CON001,Denver Health,"Clinica Family Health - MHP Alpine: 1000 Alpine Ave, Boulder, CO, 80304-3406: Denver Health","1000 Alpine Ave, Boulder, CO, 80304-3406"
1487803383,Beacon Center for Infectious Diseases (ryan white providers),Physician,017 Infectious Diseases,Boulder Community Health (Hospital),Ryan White Providers,4800 Riverbend Rd,Boulder,CO,Boulder,80301-2636,CON001,Denver Health,"Beacon Center for Infectious Diseases (ryan white providers): 4800 Riverbend Rd, Boulder, CO, 80301-2636: Denver Health","4800 Riverbend Rd, Boulder, CO, 80301-2636"
1215935978,Broomfield Public Health and Environment Division of Health and Human Services,Physician,Family Planning Providers,Broomfield Public Health and Environment Division of Health and Human Services Department,Family Planning Providers,6 Garden Ctr,Broomfield,CO,Broomfield,80020-1730,CON001,Denver Health,"Broomfield Public Health and Environment Division of Health and Human Services: 6 Garden Ctr, Broomfield, CO, 80020-1730: Denver Health","6 Garden Ctr, Broomfield, CO, 80020-1730"
1215935978,Broomfield Public Health and Environment Division of Health and Human Services,Physician,Family Planning Providers,Broomfield Public Health and Environment Division of Health and Human Services Department, Sexually Transmitted Disease Clinics,6 Garden Ctr,Broomfield,CO,Broomfield,80020-1730,CON001,Denver Health,"Broomfield Public Health and Environment Division of Health and Human Services: 6 Garden Ctr, Broomfield, CO, 80020-1730: Denver Health","6 Garden Ctr, Broomfield, CO, 80020-1730"
1336245828,"Children's Hospital Colorado Orthopedic Care, Centennial",Physician,Outpatient Hospital Clinics,Children's Hospital Colorado,Outpatient Hospital Clinics,9094 E Mineral Cir,Centennial,CO,Arapahoe,80112-7201,CON001,Denver Health,"Children's Hospital Colorado Orthopedic Care, Centennial: 9094 E Mineral Cir, Centennial, CO, 80112-7201: Denver Health","9094 E Mineral Cir, Centennial, CO, 80112-7201"
1801297593,Community Reach Center Salud,Physician,Federally Qualified Health Centers,"PLAN DE SALUD DEL VALLE, INC.",Federally Qualified Health Centers,4371 E 72nd Ave,Commerce City,CO,Adams,80022-1471,CON001,Denver Health,"Community Reach Center Salud: 4371 E 72nd Ave, Commerce City, CO, 80022-1471: Denver Health","4371 E 72nd Ave, Commerce City, CO, 80022-1471"
1639200702,Kids First Health Care at Lester Arnold,Physician,Other ECP Providers,Kids First Health Care,Other ECP Providers,6500 E 72nd Ave,Commerce City,CO,Adams,80022-2006,CON001,Denver Health,"Kids First Health Care at Lester Arnold: 6500 E 72nd Ave, Commerce City, CO, 80022-2006: Denver Health","6500 E 72nd Ave, Commerce City, CO, 80022-2006"
1346621208,2100 Broadway Services Building,Physician,Federally Qualified Health Centers,Colorado Coalition for the Homeless,Federally Qualified Health Centers,2100 N Broadway,Denver,CO,Denver,80205-2526,CON001,Denver Health,"2100 Broadway Services Building: 2100 N Broadway, Denver, CO, 80205-2526: Denver Health","2100 N Broadway, Denver, CO, 80205-2526"
1477866184,Quigg Newton Family Counseling Center,Physician,Federally Qualified Health Centers,Colorado Coalition for the Homeless,Federally Qualified Health Centers,4545 Navajo St,Denver,CO,Denver,80211-2440,CON001,Denver Health,"Quigg Newton Family Counseling Center: 4545 Navajo St, Denver, CO, 80211-2440: Denver Health","4545 Navajo St, Denver, CO, 80211-2440"
1699930651,JEFFERSON HIGH SCHOOL KIDS & TEENS HEALTH CENTER,Physician,Federally Qualified Health Centers,"METRO COMMUNITY PROVIDER NETWORK, INC.",Federally Qualified Health Centers,2305 Pierce St,Edgewater,CO,Jefferson,80214-1031,CON001,Denver Health,"JEFFERSON HIGH SCHOOL KIDS & TEENS HEALTH CENTER: 2305 Pierce St, Edgewater, CO, 80214-1031: Denver Health","2305 Pierce St, Edgewater, CO, 80214-1031"
1437314481,Alameda High School Kids and Teens Health Center,Physician,Federally Qualified Health Centers,Metro Community Provider Network,Federally Qualified Health Centers,1255 S Wadsworth Blvd,Lakewood,CO,Jefferson,80232-5406,CON001,Denver Health,"Alameda High School Kids and Teens Health Center: 1255 S Wadsworth Blvd, Lakewood, CO, 80232-5406: Denver Health","1255 S Wadsworth Blvd, Lakewood, CO, 80232-5406"
1326203399,STEIN KIDS HEALTH CENTER,Physician,Federally Qualified Health Centers,"METRO COMMUNITY PROVIDER NETWORK, INC.",Federally Qualified Health Centers,80 S Teller St,Lakewood,CO,Jefferson,80226-2044,CON001,Denver Health,"STEIN KIDS HEALTH CENTER: 80 S Teller St, Lakewood, CO, 80226-2044: Denver Health","80 S Teller St, Lakewood, CO, 80226-2044"
1013203876,Colfax Health Center at JCMH,Physician,Federally Qualified Health Centers,"METRO COMMUNITY PROVIDER NETWORK, INC.",Federally Qualified Health Centers,9485 W Colfax Ave,Lakewood,CO,Jefferson,80215-3918,CON001,Denver Health,"Colfax Health Center at JCMH: 9485 W Colfax Ave, Lakewood, CO, 80215-3918: Denver Health","9485 W Colfax Ave, Lakewood, CO, 80215-3918"
1205122066,MCPN Arapahoe Douglas Health Center,Physician,Federally Qualified Health Centers,"METRO COMMUNITY PROVIDER NETWORK, INC.",Federally Qualified Health Centers,61 W Davies Ave N,Littleton,CO,Arapahoe,80120-5252,CON001,Denver Health,"MCPN Arapahoe Douglas Health Center: 61 W Davies Ave N, Littleton, CO, 80120-5252: Denver Health","61 W Davies Ave N, Littleton, CO, 80120-5252"
1881743631,Planned Parenthood of the Rocky Mountains--Parker Express,Physician,Family Planning Providers,"Planned Parenthood of the Rocky Mountains, Inc.",Family Planning Providers,12543 N State Highway 83,Parker,CO,Douglas,80134-8800,CON001,Denver Health,"Planned Parenthood of the Rocky Mountains--Parker Express: 12543 N State Highway 83, Parker, CO, 80134-8800: Denver Health","12543 N State Highway 83, Parker, CO, 80134-8800"
1881743631,Planned Parenthood of the Rocky Mountains--Parker Express,Physician,Family Planning Providers,"Planned Parenthood of the Rocky Mountains, Inc.", Rural Health Clinics,12543 N State Highway 83,Parker,CO,Douglas,80134-8800,CON001,Denver Health,"Planned Parenthood of the Rocky Mountains--Parker Express: 12543 N State Highway 83, Parker, CO, 80134-8800: Denver Health","12543 N State Highway 83, Parker, CO, 80134-8800"
1881743631,Planned Parenthood of the Rocky Mountains--Parker Express,Physician,Family Planning Providers,"Planned Parenthood of the Rocky Mountains, Inc.", Sexually Transmitted Disease Clinics,12543 N State Highway 83,Parker,CO,Douglas,80134-8800,CON001,Denver Health,"Planned Parenthood of the Rocky Mountains--Parker Express: 12543 N State Highway 83, Parker, CO, 80134-8800: Denver Health","12543 N State Highway 83, Parker, CO, 80134-8800"
1316233174,Independence Health Center at JCMH,Physician,Federally Qualified Health Centers,"METRO COMMUNITY PROVIDER NETWORK, INC.",Federally Qualified Health Centers,4851 Independence St,Wheat Ridge,CO,Jefferson,80033-6715,CON001,Denver Health,"Independence Health Center at JCMH: 4851 Independence St, Wheat Ridge, CO, 80033-6715: Denver Health","4851 Independence St, Wheat Ridge, CO, 80033-6715"
1013911437,Northeast Colorado Health Department,Non-Physician,"Family Planning Providers, 002 Family Medicine, 005 Primary Care - Physician Assistant, 006 Primary Care - Nurse Practitioner",Northeast Colorado Health Department,Family Planning Providers,77 Main Ave,Akron,CO,Washington,80720-1439,"CON001, CON002",Friday,"Northeast Colorado Health Department: 77 Main Ave, Akron, CO, 80720-1439: Friday","77 Main Ave, Akron, CO, 80720-1439"
1881743631,Planned Parenthood of the Rocky Mountains - Alamosa,Non-Physician,"Family Planning Providers, Rural Health Clinics, Sexually Transmitted Disease Clinics, 001 General Practice, 002 Family Medicine, 005 Primary Care - Physician Assistant, 006 Primary Care - Nurse Practitioner, 016 Gynecology (OB/GYN)","Planned Parenthood of the Rocky Mountains, Inc.",Family Planning Providers,1560 12th St,Alamosa,CO,Alamosa,81101-3709,"CON001, CON002",Friday,"Planned Parenthood of the Rocky Mountains - Alamosa: 1560 12th St, Alamosa, CO, 81101-3709: Friday","1560 12th St, Alamosa, CO, 81101-3709"
1881743631,Planned Parenthood of the Rocky Mountains - Alamosa,Non-Physician,"Family Planning Providers, Rural Health Clinics, Sexually Transmitted Disease Clinics, 001 General Practice, 002 Family Medicine, 005 Primary Care - Physician Assistant, 006 Primary Care - Nurse Practitioner, 016 Gynecology (OB/GYN)","Planned Parenthood of the Rocky Mountains, Inc.", Rural Health Clinics,1560 12th St,Alamosa,CO,Alamosa,81101-3709,"CON001, CON002",Friday,"Planned Parenthood of the Rocky Mountains - Alamosa: 1560 12th St, Alamosa, CO, 81101-3709: Friday","1560 12th St, Alamosa, CO, 81101-3709"
1881743631,Planned Parenthood of the Rocky Mountains - Alamosa,Non-Physician,"Family Planning Providers, Rural Health Clinics, Sexually Transmitted Disease Clinics, 001 General Practice, 002 Family Medicine, 005 Primary Care - Physician Assistant, 006 Primary Care - Nurse Practitioner, 016 Gynecology (OB/GYN)","Planned Parenthood of the Rocky Mountains, Inc.", Sexually Transmitted Disease Clinics,1560 12th St,Alamosa,CO,Alamosa,81101-3709,"CON001, CON002",Friday,"Planned Parenthood of the Rocky Mountains - Alamosa: 1560 12th St, Alamosa, CO, 81101-3709: Friday","1560 12th St, Alamosa, CO, 81101-3709"
1821010448,AVONDALE CLINIC,Non-Physician,"Dental Providers, Family Planning Providers, Federally Qualified Health Centers, Ryan White Providers, Sexually Transmitted Disease Clinics, 001 General Practice, 002 Family Medicine, 005 Primary Care - Physician Assistant, 006 Primary Care - Nurse Practitioner, 016 Gynecology (OB/GYN), 101 Pediatrics - Routine/Primary Care, 102 Licensed Clinical Social Workers, Pharmacy",PUEBLO COMMUNITY HEALTH CENTER,Federally Qualified Health Centers,328 Avondale Blvd,Avondale,CO,Pueblo,81022-8700,"CON001, CON002",Friday,"AVONDALE CLINIC: 328 Avondale Blvd, Avondale, CO, 81022-8700: Friday","328 Avondale Blvd, Avondale, CO, 81022-8700"
1336245828,"Children's Hospital Colorado Orthopedic Care, Centennial",Non-Physician,Outpatient Hospital Clinics,Children's Hospital Colorado,Outpatient Hospital Clinics,9094 E Mineral Cir,Centennial,CO,Arapahoe,80112-7201,"CON001, CON002",Friday,"Children's Hospital Colorado Orthopedic Care, Centennial: 9094 E Mineral Cir, Centennial, CO, 80112-7201: Friday","9094 E Mineral Cir, Centennial, CO, 80112-7201"
1790998953,Cheyenne County Public Health Office,Non-Physician,"Federally Qualified Health Centers, 001 General Practice, 002 Family Medicine, 005 Primary Care - Physician Assistant, 006 Primary Care - Nurse Practitioner, 016 Gynecology (OB/GYN), 101 Pediatrics - Routine/Primary Care","VALLEY WIDE HEALTH SYSTEMS, INC.",Federally Qualified Health Centers,615 N 5th St W,Cheyenne Wells,CO,Cheyenne,80810,"CON001, CON002",Friday,"Cheyenne County Public Health Office: 615 N 5th St W, Cheyenne Wells, CO, 80810: Friday","615 N 5th St W, Cheyenne Wells, CO, 80810"
1164752812,Entrada School Based Health Center,Non-Physician,Federally Qualified Health Centers,PEAK VISTA COMMUNITY HEALTH CENTERS,Federally Qualified Health Centers,1740 Pepperwood Dr,Colorado Springs,CO,El Paso,80910-1525,"CON001, CON002",Friday,"Entrada School Based Health Center: 1740 Pepperwood Dr, Colorado Springs, CO, 80910-1525: Friday","1740 Pepperwood Dr, Colorado Springs, CO, 80910-1525"
1396048054,Logan Health Center at Myron Stratton,Non-Physician,Federally Qualified Health Centers,PEAK VISTA COMMUNITY HEALTH CENTERS,Federally Qualified Health Centers,430 Gold Pass Hts,Colorado Springs,CO,El Paso,80906-3501,"CON001, CON002",Friday,"Logan Health Center at Myron Stratton: 430 Gold Pass Hts, Colorado Springs, CO, 80906-3501: Friday","430 Gold Pass Hts, Colorado Springs, CO, 80906-3501"
1407150121,Moreno Health Center,Non-Physician,Federally Qualified Health Centers,PEAK VISTA COMMUNITY HEALTH CENTERS,Federally Qualified Health Centers,875 W Moreno Ave,Colorado Springs,CO,El Paso,80905-1731,"CON001, CON002",Friday,"Moreno Health Center: 875 W Moreno Ave, Colorado Springs, CO, 80905-1731: Friday","875 W Moreno Ave, Colorado Springs, CO, 80905-1731"
1801297593,Community Reach Center Salud,Non-Physician,Federally Qualified Health Centers,"PLAN DE SALUD DEL VALLE, INC.",Federally Qualified Health Centers,4371 E 72nd Ave,Commerce City,CO,Adams,80022-1471,"CON001, CON002, CON003",Friday,"Community Reach Center Salud: 4371 E 72nd Ave, Commerce City, CO, 80022-1471: Friday","4371 E 72nd Ave, Commerce City, CO, 80022-1471"
1881743631,Planned Parenthood of the Rocky Mountains--Cortez,Non-Physician,"Family Planning Providers, Rural Health Clinics, Sexually Transmitted Disease Clinics, 001 General Practice, 002 Family Medicine, 005 Primary Care - Physician Assistant, 006 Primary Care - Nurse Practitioner, 016 Gynecology (OB/GYN)","Planned Parenthood of the Rocky Mountains, Inc.",Family Planning Providers,20 W North St,Cortez,CO,Montezuma,81321-3117,"CON001, CON002",Friday,"Planned Parenthood of the Rocky Mountains--Cortez: 20 W North St, Cortez, CO, 81321-3117: Friday","20 W North St, Cortez, CO, 81321-3117"
1881743631,Planned Parenthood of the Rocky Mountains--Cortez,Non-Physician,"Family Planning Providers, Rural Health Clinics, Sexually Transmitted Disease Clinics, 001 General Practice, 002 Family Medicine, 005 Primary Care - Physician Assistant, 006 Primary Care - Nurse Practitioner, 016 Gynecology (OB/GYN)","Planned Parenthood of the Rocky Mountains, Inc.", Rural Health Clinics,20 W North St,Cortez,CO,Montezuma,81321-3117,"CON001, CON002",Friday,"Planned Parenthood of the Rocky Mountains--Cortez: 20 W North St, Cortez, CO, 81321-3117: Friday","20 W North St, Cortez, CO, 81321-3117"
1881743631,Planned Parenthood of the Rocky Mountains--Cortez,Non-Physician,"Family Planning Providers, Rural Health Clinics, Sexually Transmitted Disease Clinics, 001 General Practice, 002 Family Medicine, 005 Primary Care - Physician Assistant, 006 Primary Care - Nurse Practitioner, 016 Gynecology (OB/GYN)","Planned Parenthood of the Rocky Mountains, Inc.", Sexually Transmitted Disease Clinics,20 W North St,Cortez,CO,Montezuma,81321-3117,"CON001, CON002",Friday,"Planned Parenthood of the Rocky Mountains--Cortez: 20 W North St, Cortez, CO, 81321-3117: Friday","20 W North St, Cortez, CO, 81321-3117"
1003092131,Larimer County Health Department Family Planning Program-Estes Park,Non-Physician,Family Planning Providers,Larimer County Health Department,Family Planning Providers,1601 Brodie Ave,Estes Park,CO,Larimer,80517-7486,"CON001, CON002",Friday,"Larimer County Health Department Family Planning Program-Estes Park: 1601 Brodie Ave, Estes Park, CO, 80517-7486: Friday","1601 Brodie Ave, Estes Park, CO, 80517-7486"
1003092131,Larimer County Health Department Family Planning Program-Fort Collins,Non-Physician,Family Planning Providers,Larimer County Health Department,Family Planning Providers,1525 Blue Spruce Dr,Fort Collins,CO,Larimer,80524-2004,"CON001, CON002",Friday,"Larimer County Health Department Family Planning Program-Fort Collins: 1525 Blue Spruce Dr, Fort Collins, CO, 80524-2004: Friday","1525 Blue Spruce Dr, Fort Collins, CO, 80524-2004"
1013911437,Northeast Colorado Health Department,Non-Physician,Family Planning Providers,Northeast Colorado Health Department,Family Planning Providers,228 W Railroad Ave,Fort Morgan,CO,Morgan,80701-2324,"CON001, CON002",Friday,"Northeast Colorado Health Department: 228 W Railroad Ave, Fort Morgan, CO, 80701-2324: Friday","228 W Railroad Ave, Fort Morgan, CO, 80701-2324"
